distance,label
26,1
5,1
20,1
14,1
12,1
23,1
8,1
18,1
45,1
18,1
10,1
17,1
14,1
21,1
21,1
16,1
12,1
27,1
15,1
26,1
23,1
19,1
22,1
20,1
29,1
22,1
22,1
20,1
22,1
27,1
20,1
19,1
16,1
17,1
26,1
26,1
25,1
22,1
23,1
35,1
20,1
21,1
14,1
17,1
23,1
17,1
20,1
24,1
15,1
22,1
28,1
23,1
25,1
23,1
16,1
15,1
14,1
7,1
18,1
22,1
14,1
18,1
31,1
26,1
25,1
25,1
27,1
26,1
30,1
28,1
17,1
14,1
25,1
24,1
29,1
25,1
28,1
28,1
27,1
24,1
13,1
10,1
24,1
22,1
31,1
14,1
20,1
25,1
19,1
20,1
19,1
14,1
29,1
26,1
24,1
20,1
20,1
19,1
28,1
11,1
21,1
15,1
22,1
32,1
25,1
18,1
29,1
14,1
17,1
17,1
15,1
19,1
41,1
13,1
21,1
35,1
28,1
37,1
26,1
20,1
30,1
18,1
26,1
23,1
23,1
21,1
30,1
13,1
11,1
15,1
17,1
28,1
28,1
18,1
15,1
28,1
22,1
24,1
23,1
15,1
8,1
57,1
14,1
9,1
14,1
16,1
9,1
35,1
21,1
22,1
39,1
21,1
25,1
55,1
26,1
17,1
15,1
23,1
21,1
18,1
18,1
8,1
20,1
20,1
7,1
19,1
19,1
20,1
32,1
26,1
42,1
34,1
12,1
23,1
11,1
19,1
11,1
28,1
22,1
27,1
27,1
28,1
26,1
21,1
31,1
31,1
11,1
28,1
24,1
28,1
37,1
22,1
54,1
41,1
45,1
20,1
27,1
11,1
26,1
15,1
20,1
26,1
42,1
29,1
58,1
22,1
28,1
23,1
25,1
28,1
22,1
12,1
20,1
20,1
24,1
24,1
15,1
22,1
27,1
22,1
21,1
24,1
32,1
18,1
33,1
14,1
24,1
15,1
20,1
16,1
22,1
24,1
11,1
14,1
41,1
17,1
38,1
25,1
32,1
13,1
24,1
19,1
21,1
27,1
16,1
23,1
25,1
19,1
20,1
11,1
27,1
29,1
14,1
19,1
21,1
18,1
33,1
23,1
20,1
21,1
19,1
10,1
23,1
29,1
25,1
19,1
9,1
11,1
40,1
31,1
27,1
24,1
16,1
50,1
17,1
8,1
16,1
15,1
24,1
17,1
22,1
23,1
17,1
23,1
27,1
13,1
13,1
11,1
24,1
14,1
28,1
27,1
13,1
26,1
7,1
25,1
34,1
22,1
17,1
13,1
54,0
43,0
43,0
50,0
39,0
49,0
46,0
51,0
59,0
51,0
48,0
48,0
41,0
55,0
53,0
49,0
49,0
45,0
55,0
57,0
46,0
50,0
49,0
49,0
52,0
52,0
54,0
50,0
48,0
52,0
51,0
49,0
